Email,Дисципліна,Оцінка,Семестр,Вид контролю
"o.kovalenko@khpi.edu.ua","Основи програмування",74,1,"Модульний контроль 2"
"o.kovalenko@khpi.edu.ua","Основи програмування",71,1,"Лабораторна робота 4"
"o.kovalenko@khpi.edu.ua","Основи програмування",63,1,"Лабораторна робота 2"
"o.kovalenko@khpi.edu.ua","Основи програмування",64,1,"Модульний контроль 1"
"o.kovalenko@khpi.edu.ua","Основи програмування",72,1,"Лабораторна робота 1"
"o.kovalenko@khpi.edu.ua","Основи програмування",76,1,"Підсумковий контроль"
"o.kovalenko@khpi.edu.ua","Вища математика",88,1,"Лабораторна робота 1"
"o.kovalenko@khpi.edu.ua","Вища математика",91,1,"Лабораторна робота 2"
"o.kovalenko@khpi.edu.ua","Вища математика",91,1,"Модульний контроль 2"
"o.kovalenko@khpi.edu.ua","Вища математика",88,1,"Лабораторна робота 4"
"o.kovalenko@khpi.edu.ua","Вища математика",67,1,"Підсумковий контроль"
"o.kovalenko@khpi.edu.ua","Лінійна алгебра та аналітична геометрія",60,1,"Модульний контроль 2"
"o.kovalenko@khpi.edu.ua","Лінійна алгебра та аналітична геометрія",66,1,"Лабораторна робота 1"
"o.kovalenko@khpi.edu.ua","Лінійна алгебра та аналітична геометрія",67,1,"Лабораторна робота 3"
"o.kovalenko@khpi.edu.ua","Лінійна алгебра та аналітична геометрія",62,1,"Модульний контроль 1"
"o.kovalenko@khpi.edu.ua","Лінійна алгебра та аналітична геометрія",60,1,"Лабораторна робота 4"
"o.kovalenko@khpi.edu.ua","Лінійна алгебра та аналітична геометрія",60,1,"Підсумковий контроль"
"o.kovalenko@khpi.edu.ua","Англійська мова (1 семестр)",83,1,"Лабораторна робота 3"
"o.kovalenko@khpi.edu.ua","Англійська мова (1 семестр)",90,1,"Лабораторна робота 1"
"o.kovalenko@khpi.edu.ua","Англійська мова (1 семестр)",92,1,"Модульний контроль 2"
"o.kovalenko@khpi.edu.ua","Англійська мова (1 семестр)",96,1,"Лабораторна робота 4"
"o.kovalenko@khpi.edu.ua","Англійська мова (1 семестр)",93,1,"Лабораторна робота 2"
"o.kovalenko@khpi.edu.ua","Англійська мова (1 семестр)",86,1,"Підсумковий контроль"
"o.kovalenko@khpi.edu.ua","Фізика",78,1,"Лабораторна робота 2"
"o.kovalenko@khpi.edu.ua","Фізика",75,1,"Лабораторна робота 3"
"o.kovalenko@khpi.edu.ua","Фізика",75,1,"Модульний контроль 2"
"o.kovalenko@khpi.edu.ua","Фізика",84,1,"Підсумковий контроль"
"o.kovalenko@khpi.edu.ua","Вступ до ІТ",91,1,"Лабораторна робота 4"
"o.kovalenko@khpi.edu.ua","Вступ до ІТ",94,1,"Модульний контроль 2"
"o.kovalenko@khpi.edu.ua","Вступ до ІТ",98,1,"Лабораторна робота 3"
"o.kovalenko@khpi.edu.ua","Вступ до ІТ",96,1,"Модульний контроль 1"
"o.kovalenko@khpi.edu.ua","Вступ до ІТ",96,1,"Підсумковий контроль"
"o.kovalenko@khpi.edu.ua","Алгоритми та структури даних",73,2,"Лабораторна робота 3"
"o.kovalenko@khpi.edu.ua","Алгоритми та структури даних",69,2,"Лабораторна робота 2"
"o.kovalenko@khpi.edu.ua","Алгоритми та структури даних",72,2,"Модульний контроль 2"
"o.kovalenko@khpi.edu.ua","Алгоритми та структури даних",76,2,"Модульний контроль 1"
"o.kovalenko@khpi.edu.ua","Алгоритми та структури даних",81,2,"Лабораторна робота 4"
"o.kovalenko@khpi.edu.ua","Алгоритми та структури даних",79,2,"Підсумковий контроль"
"o.kovalenko@khpi.edu.ua","Англійська мова (2 семестр)",89,2,"Модульний контроль 1"
"o.kovalenko@khpi.edu.ua","Англійська мова (2 семестр)",93,2,"Лабораторна робота 1"
"o.kovalenko@khpi.edu.ua","Англійська мова (2 семестр)",93,2,"Лабораторна робота 4"
"o.kovalenko@khpi.edu.ua","Англійська мова (2 семестр)",95,2,"Лабораторна робота 2"
"o.kovalenko@khpi.edu.ua","Англійська мова (2 семестр)",86,2,"Лабораторна робота 3"
"o.kovalenko@khpi.edu.ua","Англійська мова (2 семестр)",72,2,"Підсумковий контроль"
"o.kovalenko@khpi.edu.ua","Бази даних",100,3,"Модульний контроль 1"
"o.kovalenko@khpi.edu.ua","Бази даних",100,3,"Лабораторна робота 4"
"o.kovalenko@khpi.edu.ua","Бази даних",100,3,"Лабораторна робота 3"
"o.kovalenko@khpi.edu.ua","Бази даних",100,3,"Лабораторна робота 1"
"o.kovalenko@khpi.edu.ua","Бази даних",100,3,"Підсумковий контроль"
"o.kovalenko@khpi.edu.ua","Об'єктно-орієнтоване програмування",79,3,"Лабораторна робота 2"
"o.kovalenko@khpi.edu.ua","Об'єктно-орієнтоване програмування",73,3,"Лабораторна робота 1"
"o.kovalenko@khpi.edu.ua","Об'єктно-орієнтоване програмування",82,3,"Модульний контроль 2"
"o.kovalenko@khpi.edu.ua","Об'єктно-орієнтоване програмування",68,3,"Модульний контроль 1"
"o.kovalenko@khpi.edu.ua","Об'єктно-орієнтоване програмування",73,3,"Підсумковий контроль"
"o.kovalenko@khpi.edu.ua","Теорія ймовірностей та математична статистика",100,3,"Лабораторна робота 4"
"o.kovalenko@khpi.edu.ua","Теорія ймовірностей та математична статистика",97,3,"Лабораторна робота 3"
"o.kovalenko@khpi.edu.ua","Теорія ймовірностей та математична статистика",95,3,"Лабораторна робота 1"
"o.kovalenko@khpi.edu.ua","Теорія ймовірностей та математична статистика",100,3,"Підсумковий контроль"
"o.kovalenko@khpi.edu.ua","Операційні системи",60,3,"Лабораторна робота 3"
"o.kovalenko@khpi.edu.ua","Операційні системи",72,3,"Лабораторна робота 1"
"o.kovalenko@khpi.edu.ua","Операційні системи",63,3,"Лабораторна робота 2"
"o.kovalenko@khpi.edu.ua","Операційні системи",69,3,"Модульний контроль 1"
"o.kovalenko@khpi.edu.ua","Операційні системи",71,3,"Лабораторна робота 4"
"o.kovalenko@khpi.edu.ua","Операційні системи",60,3,"Підсумковий контроль"
"d.shevchenko@khpi.edu.ua","Основи програмування",83,1,"Лабораторна робота 1"
"d.shevchenko@khpi.edu.ua","Основи програмування",70,1,"Лабораторна робота 3"
"d.shevchenko@khpi.edu.ua","Основи програмування",81,1,"Модульний контроль 1"
"d.shevchenko@khpi.edu.ua","Основи програмування",63,1,"Лабораторна робота 4"
"d.shevchenko@khpi.edu.ua","Основи програмування",64,1,"Екзамен"
"d.shevchenko@khpi.edu.ua","Вища математика",71,1,"Лабораторна робота 4"
"d.shevchenko@khpi.edu.ua","Вища математика",81,1,"Лабораторна робота 3"
"d.shevchenko@khpi.edu.ua","Вища математика",75,1,"Модульний контроль 1"
"d.shevchenko@khpi.edu.ua","Вища математика",75,1,"Лабораторна робота 2"
"d.shevchenko@khpi.edu.ua","Вища математика",80,1,"Лабораторна робота 1"
"d.shevchenko@khpi.edu.ua","Вища математика",74,1,"Екзамен"
"d.shevchenko@khpi.edu.ua","Лінійна алгебра та аналітична геометрія",67,1,"Лабораторна робота 3"
"d.shevchenko@khpi.edu.ua","Лінійна алгебра та аналітична геометрія",72,1,"Модульний контроль 2"
"d.shevchenko@khpi.edu.ua","Лінійна алгебра та аналітична геометрія",65,1,"Лабораторна робота 1"
"d.shevchenko@khpi.edu.ua","Лінійна алгебра та аналітична геометрія",74,1,"Екзамен"
"d.shevchenko@khpi.edu.ua","Англійська мова (1 семестр)",80,1,"Лабораторна робота 3"
"d.shevchenko@khpi.edu.ua","Англійська мова (1 семестр)",78,1,"Лабораторна робота 1"
"d.shevchenko@khpi.edu.ua","Англійська мова (1 семестр)",75,1,"Лабораторна робота 4"
"d.shevchenko@khpi.edu.ua","Англійська мова (1 семестр)",77,1,"Модульний контроль 2"
"d.shevchenko@khpi.edu.ua","Англійська мова (1 семестр)",72,1,"Залік"
"d.shevchenko@khpi.edu.ua","Фізика",70,1,"Лабораторна робота 3"
"d.shevchenko@khpi.edu.ua","Фізика",69,1,"Лабораторна робота 2"
"d.shevchenko@khpi.edu.ua","Фізика",78,1,"Лабораторна робота 1"
"d.shevchenko@khpi.edu.ua","Фізика",66,1,"Модульний контроль 2"
"d.shevchenko@khpi.edu.ua","Фізика",78,1,"Екзамен"
"d.shevchenko@khpi.edu.ua","Вступ до ІТ",73,1,"Модульний контроль 1"
"d.shevchenko@khpi.edu.ua","Вступ до ІТ",77,1,"Лабораторна робота 2"
"d.shevchenko@khpi.edu.ua","Вступ до ІТ",84,1,"Модульний контроль 2"
"d.shevchenko@khpi.edu.ua","Вступ до ІТ",79,1,"Лабораторна робота 3"
"d.shevchenko@khpi.edu.ua","Вступ до ІТ",80,1,"Лабораторна робота 1"
"d.shevchenko@khpi.edu.ua","Вступ до ІТ",76,1,"Залік"
"d.shevchenko@khpi.edu.ua","Дискретна математика",78,2,"Лабораторна робота 1"
"d.shevchenko@khpi.edu.ua","Дискретна математика",85,2,"Лабораторна робота 2"
"d.shevchenko@khpi.edu.ua","Дискретна математика",72,2,"Лабораторна робота 3"
"d.shevchenko@khpi.edu.ua","Дискретна математика",83,2,"Екзамен"
"d.shevchenko@khpi.edu.ua","Архітектура комп'ютерів",68,2,"Лабораторна робота 1"
"d.shevchenko@khpi.edu.ua","Архітектура комп'ютерів",86,2,"Лабораторна робота 2"
"d.shevchenko@khpi.edu.ua","Архітектура комп'ютерів",66,2,"Лабораторна робота 4"
"d.shevchenko@khpi.edu.ua","Архітектура комп'ютерів",66,2,"Лабораторна робота 3"
"d.shevchenko@khpi.edu.ua","Архітектура комп'ютерів",70,2,"Екзамен"
"d.shevchenko@khpi.edu.ua","Алгоритми та структури даних",82,2,"Модульний контроль 1"
"d.shevchenko@khpi.edu.ua","Алгоритми та структури даних",80,2,"Лабораторна робота 4"
"d.shevchenko@khpi.edu.ua","Алгоритми та структури даних",85,2,"Лабораторна робота 3"
"d.shevchenko@khpi.edu.ua","Алгоритми та структури даних",68,2,"Екзамен"
"d.shevchenko@khpi.edu.ua","Англійська мова (2 семестр)",75,2,"Лабораторна робота 1"
"d.shevchenko@khpi.edu.ua","Англійська мова (2 семестр)",76,2,"Лабораторна робота 3"
"d.shevchenko@khpi.edu.ua","Англійська мова (2 семестр)",85,2,"Лабораторна робота 4"
"d.shevchenko@khpi.edu.ua","Англійська мова (2 семестр)",86,2,"Модульний контроль 2"
"d.shevchenko@khpi.edu.ua","Англійська мова (2 семестр)",73,2,"Модульний контроль 1"
"d.shevchenko@khpi.edu.ua","Англійська мова (2 семестр)",81,2,"Залік"
"d.shevchenko@khpi.edu.ua","Бази даних",76,3,"Лабораторна робота 3"
"d.shevchenko@khpi.edu.ua","Бази даних",86,3,"Лабораторна робота 4"
"d.shevchenko@khpi.edu.ua","Бази даних",87,3,"Лабораторна робота 2"
