Email,ПІБ,Група,Освітня програма,Семестр,Форма навчання
"n.kharchenko.new@khpi.edu.ua","Назар Харченко","КН-221","Комп'ютерні науки та інтелектуальні системи",4,"Денна"
"p.moroz.new@khpi.edu.ua","Поліна Мороз","КН-222","Комп'ютерні науки та інтелектуальні системи",4,"Денна"
"d.kozak.new@khpi.edu.ua","Данило Козак","КН-223","Комп'ютерні науки та інтелектуальні системи",4,"Денна"
"k.marchenko.new@khpi.edu.ua","Кароліна Марченко","КН-224","Комп'ютерні науки та інтелектуальні системи",4,"Денна"
"h.klymenko.new@khpi.edu.ua","Гліб Клименко","КН-221","Комп'ютерні науки та інтелектуальні системи",4,"Денна"
"m.pavlenko.new@khpi.edu.ua","Марта Павленко","КН-222","Комп'ютерні науки та інтелектуальні системи",4,"Денна"
"m.sydorenko.new@khpi.edu.ua","Микита Сидоренко","КН-223","Комп'ютерні науки та інтелектуальні системи",4,"Денна"
"s.dyachenko.new@khpi.edu.ua","Соломія Дяченко","КН-224","Комп'ютерні науки та інтелектуальні системи",4,"Денна"
"t.boyko.new@khpi.edu.ua","Тимофій Бойко","КН-221","Комп'ютерні науки та інтелектуальні системи",4,"Денна"
"z.ponomarenko.new@khpi.edu.ua","Злата Пономаренко","КН-222","Комп'ютерні науки та інтелектуальні системи",4,"Денна"
"z.hrytsenko.new@khpi.edu.ua","Захар Гриценко","КН-223","Комп'ютерні науки та інтелектуальні системи",4,"Денна"
"m.karpenko.new@khpi.edu.ua","Мілана Карпенко","КН-224","Комп'ютерні науки та інтелектуальні системи",4,"Денна"
"v.pavlyuk.new@khpi.edu.ua","Всеволод Павлюк","КН-221","Комп'ютерні науки та інтелектуальні системи",4,"Денна"
"u.romanyuk.new@khpi.edu.ua","Уляна Романюк","КН-222","Комп'ютерні науки та інтелектуальні системи",4,"Денна"
"n.mazur.new@khpi.edu.ua","Назарій Мазур","КН-223","Комп'ютерні науки та інтелектуальні системи",4,"Денна"
"m.kravchuk.new@khpi.edu.ua","Меланія Кравчук","КН-224","Комп'ютерні науки та інтелектуальні системи",4,"Денна"
"l.vasylenko.new@khpi.edu.ua","Любомир Василенко","КН-221","Комп'ютерні науки та інтелектуальні системи",4,"Денна"
"e.shvets.new@khpi.edu.ua","Емілія Швець","КН-222","Комп'ютерні науки та інтелектуальні системи",4,"Денна"
"s.mykhaylenko.new@khpi.edu.ua","Святослав Михайленко","КН-223","Комп'ютерні науки та інтелектуальні системи",4,"Денна"
"v.loboda.new@khpi.edu.ua","Віра Лобода","КН-224","Комп'ютерні науки та інтелектуальні системи",4,"Денна"
